"id","study_id","read_calctype","read_ancovasource","read_calcmethod","read_imputemethod","justification","imbalance","read_comments","recalc_study","recalc_calctype","recalc_ancovasource","recalc_calcmethod","recalc_imputemethod","recalc_comments","extract_user","submitted_date","last_updated","is_draft"
"68","122","post-measures",NULL,"SMD of post scores",,"none","only RCTs included, MMAT for bias assessment","only aggregated findings are presented in the forest plots","Persoon et al. 2017  (2 out of 2 from the aggregated findings in forest plot S6 that have only one intervention arm)","post-measures",NULL,"SMD (with Hedges&#039; correction) of post scores and their sds",,"Only aggregated findings were presented in forest plots, so I had to select a subgroup that aggregated only one study. For the ES calculation, the MA used the baseline sample size instead of the actual post score sample size, which lead to minor discrepancies in the CI but not the ES point estimate.","SN","2025-06-24 14:55:45","2025-06-25 09:42:11","0"
"69","126","change score",NULL,"SMD based on change scores, with post score SD ? 
&quot;pre- to post-intervention data indexation methodology, ... the standard deviation (post-intervention only) was entered as a percentage of the absolute mean&quot;","post score SD ?","none","PEDro scale for RoB assessment","forest plot does not include exact values -see supplementary material.","15 of 17 - Contreras (2017)","change score",NULL,"SMD calculated with percentual change from pre to post. It was not like in MA stated that they used for improvement 104%, they used 4% instead. SMD calculated with post score SD (in % to mean post score value)","standardised by post score SD","the supplemental material also stated values of 103,4% etc even they used just 3,4% and so on ... 
Furthermore, they were small rounding/ calculation errors","TS","2025-06-25 08:59:50","2025-06-25 09:23:55","0"
"70","128","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores standardized by pre sd","unclear","reference to Diaz 2011 and Hedges &amp; Olkin 1985","RCT and non-RCT included, ROB(-1) for bias assessment","This is a Bayesian Model Based Network MA with time-course and dose-response analysis. The text presents how ES were calculated, but no individual ES are shown in the article or supplemental information, so no recalculation can be performed. The public repository that should contain data and code for the study is empty.",,NULL,NULL,,,,"SN","2025-06-25 09:57:48","2025-06-25 10:23:04","0"
"71","129","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores standardized by pooled pre sd (i.e., Morris ppc2 approach), but with a variance estimation for two independent groups (Borenstei &amp; Hedges formula)","none","reference to an earlier MA (Behringer et al. 2011) which used the same ES, Lakens 2013 for using the Hedges&#039; correction, &quot;Unless stated otherwise, the following calculations were performed as described by Borenstein et al. (5).&quot;","RCT and non-RCT included, checklist by Downs &amp; Black for bias assessment","The MA is extremely detailed in explaining its effect size calculation, providing formulas and references for each step. Nevertheless the variance estimator is not appropriate for the ES chosen.","Palmieri 1986 (23 out of 25 from Fig 2)","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores standardized by pooled pre sd (i.e., Morris ppc2 approach), but with a variance estimation for two independent groups (Borenstei &amp; Hedges formula)","none",,"SN","2025-06-25 10:15:47","2025-06-25 10:36:10","0"
"72","131","unclear",NULL,"either MD (as seen in the forest plots) or SMD of change scores with change score sd as standardizer (as described in the text) with an imputed correlation of 0.8",,"imputed correlation based on a previous MA in the field (Naci et al. 2019), though that study does not justify why they used 0.8, but they presented a sensitivity analyis","only RCTs included, TESTEX for bias assessment","This is a large MA with pairwise comparisons and a Bayesian Network-MA. It may be the case that different ES were used for these two analyses. No individual study ES are presented in the article and its supplementary materials, so no recalculation can be performed.",,NULL,NULL,,,,"SN","2025-06-25 11:01:35","2025-06-25 11:01:35","0"
"73","134","change score",NULL,"MD or SMD based on change scores and their sd","0.7","MD or SMD depending on whether the same scale was used for all outcomes; for imputation, reference to a previous MA (Mason et al. 2021) that used a correlation of 0.7 based on two primary studies while performing a sensitivity analysis","RCT and non-RCT included, &quot;The Critical Appraisal Checklist for Case Control Studies or RCT of the Faculty of Health and Medical Sciences at the University of Adelaide&quot; used for bias assessment",,"Teo et al. 2020 (1 out of 10 from Fig 2A)","unclear",NULL,"unclear, possibly something based on change scores",,"I tried several studies but could not fully reproduce a single ES. Also, very likely double counting of a treatment arm. Partly incorrect reference numbers in forest plot.","SN","2025-06-25 11:45:28","2025-06-25 14:18:10","0"
"74","136","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores and their sd","r = 0.5","SMD because of different measurement scales (ref to Cochrane), bias correction because of small sample bias (ref to Hedges &amp; Olkin), imputation based on a previous MA (Lopez et al 2021, but they chose it without justification).","only randomized trials included, ROB-2 for bias assessment","this is a network-MA and the article does only present aggregated ES. But the Suppl Fig S7/8 show a threshold analysis, also displaying individual study ES, so I will try to use these for the recalculation.","Padilha et al 2015 (53 out of 69 from Fig S7)","change score",NULL,"SMD with Hedges&#039; correction based on change scores and their sds","r = 0.5","The MA has an error in the ES CI calculation: The authors very likely mistook the ES SE for the ES var. This leads to overly wide CIs, since SE(ES) &gt; var(ES) for var(ES) &lt; 1. I could fully reproduce the ES and its CI when considering this issue.","SN","2025-06-25 14:32:49","2025-06-25 15:25:38","0"
"75","137","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores and their sds","r = 0.5","none","probably randomized and nonrandomized studies included, Downs &amp; Black checklist for bias assessment","I use the chronic effect MA for data extraction and recalculation, as this is the one that matches best the inclusion criteria","Weakley et al. 2019 (2 out of 6 from Fig 3)","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores and their sd","r = 0.5","It is interesting that the MA authors state that &quot;Pre- to post-correlation values were not reported
by included studies&quot;, but the study reanalyze has the same first author, so the correlation could have probably calculated from the raw data if available.","SN","2025-06-25 15:25:29","2025-06-25 15:43:40","0"
"76","139","unclear",NULL,"Hedges&#039; g (so probably SMD, but unclear based on what)",,"none","only RCTs included, PEDRO for bias assessment",,"Lavretsky et al. 2022 (24 out of 77 from Fig 2)","post-measures",NULL,"SMD (probably with Hedges&#039; correction) of post-scores",,"I could only almost perfectly recalculate the ES and its CI, but there were very minor discrepancies. I could not figure out why these discrepancies occurred.","SN","2025-06-25 16:11:50","2025-06-25 17:17:59","0"
"77","140","unreported",NULL,"SMD with Hedges&#039; correction",,"none","only RCTs included, ROB-2 for bias assessment",,"Gupta &amp; Mamidi 2013 (1 out of 2 from Fig 2) [random number generator selected study 2 but I could not retrieve the full text for this study)","post-measures",NULL,"SMD (with Hedges&#039; correction) of post scores and their sd",,"I believe the recalculated ES has the wrong sign. But the primary study was unclear whether they reported post-scores (which would mean the ES has the wrong sign) or change scores (which would mean the ES has the correct sign). I checked another ES and that was calculated using post-scores.","SN","2025-06-26 09:26:13","2025-06-26 10:06:22","0"
"78","145","post-measures",NULL,"SMD (with Hedges&#039; correction) of post-scores and their sd",,"reference to Borenstein et al. 2009 for using Hedges&#039; correction","RCT and non-RCT included, PEDRO for bias assessment","detailed description of the ES calculation procedure including all formulas","Gallagher et al. 2010 (this is the only study from Fig 2A that shows an individual ES instead of a combined measure)","post-measures",NULL,"SMD (with Hedges&#039; correction) of post scores and their sd with Borenstein &amp; Hedges variance estimator",,,"SN","2025-06-26 10:08:56","2025-06-26 10:30:29","0"
"79","148","post-measures",NULL,"SMD of post scores and their sd",,"none","only RCTs included, ROB-2 for bias assessment","The full text reports no individual study ES, so we will use the forest plots from the supplementary material instead","Adams et al. 2018 (1 out of 15 from Fig S1)","post-measures",NULL,"SMD (with Hedges&#039; correction) of post scores and their SD (possibly RevMan variance estimator, but could not verify because the results were to similar to the other estimators)",,,"SN","2025-06-26 10:47:15","2025-06-26 10:47:15","0"
"80","149","unclear",NULL,"MD",,"none","only RCTs included,",,"Tew et al. 2019 (46 out of 65 from Fig 2)","change score",NULL,"MD based on change score (but unclear which sd)","unclear","I could reproduce the ES point estimate, but not its variance and thus CIs","SN","2025-06-26 10:52:05","2025-06-26 11:42:54","0"
"81","152","post-measures",NULL,"SMD of post scores",,"none","randomized and non-randomized studies included, modified Knet checklist for bias assessment","the MA states that most data had to be extracted from figures, which can create difficulties during the recalculation. Forest plots are only available in the supplementary materials","Chen et al. 2012 (20 out of 41 from Fig S1)","unclear",NULL,"unclear",,"I could not recalculate any ES size, because all three I checked relied (as far as I understood the original publications and MA procedures correctly) on data extracted from low-quality figures. Hence, I could not generate reliable data that could be used for a recalculation.","SN","2025-06-26 12:04:29","2025-06-26 13:05:55","0"
"82","153","change score",NULL,"SMD of change scores and their sd","unclear","none","MA includes only RCTs, ROB-2 used for bias assessment","No individual study ES are presented in the manuscript or its supplementary materials, so a recalculation is not possible.",,NULL,NULL,,,,"SN","2025-06-26 14:56:09","2025-06-26 15:03:36","0"
"83","157","change score",NULL,"SMD based on change scores and their sd","r = 0.7","For change-score based SMD: ref to Sedgwick &amp; Marston 2013, Borenstein et al. 2009. For correlation imputation: ref to Rosenthal 1991","only RCTs included, ROB-2 for bias assessment",,"Cornette et al. 2016 (1 out of 3 from Fig 2 first panel)","change score",NULL,"SMD (without Hedges&#039; correction) based on change scores and their sd","r = 0.7",,"SN","2025-06-26 15:06:35","2025-06-26 15:51:31","0"
"84","158","change score",NULL,"SMD of within-group SMD, both with Hedges&#039; correction and the same variance estimator","unclear, based on available data (but unclear what if not enough data is reported)","Lakens 2013 for calculating the within group ES and using the Hedges&#039; correction, Kebede et al. 2019 for calculating the correlation from reported sds, Madeyski &amp; Kitchenham 2018 for the between group SMD, Goulet-Pelletier &amp; Cousineau (2018) for the variance estimator","only crossover trials included, self-developed checklist for bias-assessment","The procedure is well-explained, well-referenced, and the appendix provides all formula used. I am unsure whether the used approach is mathematically correct, because (1) the variance estimator is for independent groups but also used for the within group ES here (2) there is an error (typo?) in the formula for calculating the pre-post correlation (3) the practice of standardizing a difference of standardized means may yield results that are different to interpret (4) The cross-over nature of the trials is not fully taken into account (e.g., not using the between condition correlation).","Jones et al. 2008 (9 out of 11 from Fig 2A)","change score",NULL,"SMD based on within-group SMD (both with Hedges&#039; correction and both with an independent group variance estimator).","r = 0.5","I could finally perfectly recalculate a given effect size, but only when following the mistakes from the MA analysis: 
1. the formula for calculating the pre-post correlation is not just incorrectly applied but also contains an error, with the result that a correlation of r = 0.5 is always imputed
2. the variance formula (which is inappropriate for the within group design) also has an error in the calculation of the degrees of freedom, as has the Hedges&#039; correction factor
3. The standardization procedure of the between group ES standardizes already standardized SMDs by raw score SDs, which will almost always leads to extremely small ES (but large CIs)
4. The between group ES does not take the crossover design into account but treats the am and pm groups as independent (loss of power)","SN","2025-06-30 13:58:50","2025-06-30 15:35:20","0"
"85","159","unreported",NULL,"SMD (Cohen&#039;s d)",,"SMD because measurements had different scales, reference to Lachenbruch &amp; Cohen 1989 for using Cohen&#039;s d","RCTs and non-randomised experimental trials included, ROB-2 (RCT) or ROBINS-I (non-RCT) for bias assessment","The MA performed pairwise MA and network-MA.","Bharath et al. 2018 (1 out of 18 from Fig S3)","change score",NULL,"SMD (without Hedges&#039; correction) based on change scores standardized by post score SD.","none","With some try-and-error I could finally reproduce the ES and its CI. In the first study I tried to recalculate, the MA authors confused SEM and SD and also used the wrong sample size for each group (n = 10 instead of 20, but this was also an error in the original study table). For another study the recalculation worked when using rounded values.","SN","2025-07-01 09:44:35","2025-07-01 13:26:31","0"
"86","160","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores standardized by post score sd","none","none","RCT and non-RCT included, PEDRO for bias assessment",,"Young et al. 1999 (101 out of 102 from Fig","change score",NULL,"SMD (with Hedges&#039; correction) of change scores standardized by post score SD","none","I could almost match the reported ES and its CI (off by 0.01) for the second study I tried (no success for the first).","SN","2025-07-01 11:18:59","2025-07-01 15:14:24","0"
"87","163","change score",NULL,"SMD (with Hedges&#039; correction) of change scores and the pooled within-group sds","none","Cochrane and Lakens 2013 for using SMD, Rosenthal 2009 and Hedges &amp; Olkin 1985 for using the bias correction","RCT and non-RCT included, custom checklist for bias assessment (reference: Brughelli et al. 2008)","The MA presents both between group and within group analyses, we focus on the between-group analysis here.","Nonnato et al. 2022 (7 out of 11 from Fig 2)","change score",NULL,"SMD (with Hedges&#039; correction) of change scores and the pooled within-group sds (with RevMan variance estimator)","none","The recalculation was very straightforward. The ES calculation does not take the repeated measures design into account","SN","2025-07-02 10:09:11","2025-07-02 10:28:23","0"
"88","164","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores (unclear what is used as a standardizer)","r = 0.7","Hedges 1981 for using Hedges&#039; g, Rosenthal 1991 for correlation imputation of 0.7","probably RCT and non-RCT included, PEDRO for bias assessment",,"Nelson et al. 2000 (9 out of 13 from Fig 3a)","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores with raw score standardization (ppc1 by Morris with the variance estimator by Becker)","r = 0.7",,"SN","2025-07-02 10:31:45","2025-07-02 11:11:37","0"
"89","165","change score",NULL,"MD of change scores and their SD","r = 0.5","Fu et al. 2008 for imputing r = 0.5","only RCTs included, TESTEX and self-created (?) checklist for bias assessment",,"Sunami et al. 1999 (4 out of 6 in Fig 2 that do not have a combined outcome)","change score",NULL,"MD based on change scores and their sd","r = 0.5",,"SN","2025-07-02 11:45:52","2025-07-02 14:52:47","0"
"90","170","change score",NULL,"SMD of change scores (raw score standardization, Hedges&#039; correction)","r = 0.7","reference to Morris 2008","only RCTs included, ROB-2 for bias assessment","Sensitivity analyses for r = 0.6 and r = 0.8","Sims et al. 2006 (35 out of 41 from Fig 2)","change score",NULL,"SMD (without Hedges&#039; correction) based on change scores standardized by post score sd (raw score standardization)","none","I could perfectly recalculate the ES and CI for 2 out of 3 cases when using a uncorrected SMD with raw (post!) score standardization. This means that the references paper Morris 2008 was not followed, since it recommends the Hedges&#039; correction and pre-score sd standardization. It also means that the assumed correlation of r = 0.7 has no effect on the calculated ES, since no correlation is needed for the calculation. This is a bit strange since the correlation imputation was stated several times in the MA. But I could perfectly recalculate two out of three ES with CI with my method (accuracy of &lt;0.001), and the third was only off by 0.01. Incorrect reference numbers in forest plot","SN","2025-07-02 15:15:51","2025-07-02 16:44:57","0"
"91","172","change score",NULL,"SMD based on change scores, possibly with raw score standardization (Morris, ppc1 with Becker variance estimator)","r = 0.7","reference to Morris 2008","possibly RCT and non-RCT included, modified PEDRO scale for bias assessment","sensitivity analyses conducted for r = 0.5 and r = 0.9; data and code is available; the numbers and studies of the individual ES in the forest plot are not documented, I&#039;ll try to infer this from the published code","Abdel-Aziem &amp; Mohammad 2012 (87 out of 104 from Fig 2A, I matched the study by running the provided code)","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores with raw score (post-SD!) standardization (Morris ppc1 with Becker variance estimator)","r = 0.7","Contrary to the recommendation the MA uses the post-score sd to standardize the ES. The available data and code was a great help during the recalculation.","SN","2025-07-02 16:50:43","2025-07-02 17:30:27","0"
"92","177","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores with raw (pre) score standardization (ppc2 by Morris 2008)","unreported","method is best in regards of bias, precision and robustness (reference to Morris 2008)","only RCTs included, ROB-2 for bias assessment",,"Reichkendler et al. 2013 (7 out of 46 from Fig 1)","change score",NULL,"SMD (with Hedges&#039; correction) based on change scores with raw (pre) score standardization (ppc2 by Morris 2008)","r = 0.5","worked perfectly with the first try","SN","2025-07-07 14:40:56","2025-07-07 14:59:13","0"
"93","178","unreported",NULL,"SMD (based on the forest plot it should be post-score based)",,"none","only RCTs included (most crossover, few parallel), ROB(-1/2?) for bias assessment",,"Sims 2016 (11 out of 19 from Fig 2)","post-measures",NULL,"SMD (with Hedges&#039; correction) based on post scores and their sd",,"Most studies included in the MA were crossover designs and they had no real pre-measurements (or just one instead of one per condition). The first study I tried to recalculate has a data extraction error, which made both sd larger by the factor 10. The final study I used for the recalculation had a perfect match, when using the values from the forest plot, which were slightly off by 0.01 or -0.01 each from the reported values in the original study (this was a bit surprising to see).","SN","2025-07-07 15:07:20","2025-07-07 17:19:52","0"
"94","179","unreported",NULL,"possibly SMD (at least this is indicated by the forest plot)",,"following recommendations by reference Borenstein et al. 2021","randomized and non-randomized controlled trials included, PEDRO for bias assessment",,"Barbosa et al. 2002 (7 out of 21 from Fig 3 that use a single instead of a combined measure)","change score",NULL,"SMD of change scores and their SD","r = 0.5","instead of the CI I recalculated the z-value, which was given in the forest plot. The data availability statement states that the extracted data is available in Tab S1, but the supplementary material only consists of a PRISMA checklist.","SN","2025-07-07 17:12:56","2025-07-07 17:40:20","0"
"95","180","change score",NULL,"SMD of change scores","unreported","reference to Cochrane handbook","possibly randomized and non-randomized trials included, PEDro for bias assessment.",,"O&#039;Riordan et al. 2023 (18 out of 22 from Fig 3; I used Fig 3 because Fig 2 appeared to present combined effect sizes for each study; the built-in random number generator of the project website did not work for this study, so I used R code instead)","post-measures",NULL,"SMD (with Hedges&#039; correction) based on post-scores (with RevMan variance estimator)",,"Most included studies were crossover-design without additional pre-measures, so change score based methods may not be applicable. Recalculation was challenging, because for some studies it was not clear what data was extracted, which procedure was used for combining measures to a single effect sizes and/or data would need to be extracted from plots. In the end, I could only successfully recalculate a single ES (I&#039;ll upload this file as the &quot;original study pdf&quot;).","SN","2025-07-07 17:43:17","2025-07-08 09:50:15","0"
"96","181","change score",NULL,"SMD of change scores and their SD","r = 0.7","reference to Rosenthal 1991 for imputed correlation","only RCTs included, PEDro for bias assessment","sensitivity analysis performed with r = 0.2 and r = 0.5","(8 out of 12 from Fig S2)","change score",NULL,"SMD of change scores and their sd (unclear if Hedges&#039; correction and which variance estimator, because this did not change the results due to the large sample sizes).","r = 0.7","I tried to reproduce two ES, the first was almost perfectly recalculated (off by 0.01), the second was exact, but had the wrong sign (effect size direction).","SN","2025-07-08 10:13:35","2025-07-08 13:43:13","0"
"97","182","change score",NULL,"SMD based on change scores and their sd","r = 0.5","reference to Cochrane handbook","only RCTs included, ROB(-1) for bias assessment","This network-MA does not present individual study effect sizes, thus no recalculation attempt will be made.",,NULL,NULL,,,,"SN","2025-07-08 13:41:36","2025-07-08 13:41:36","0"
"98","183","unclear",NULL,"SMD (with Hedges&#039; correction)",,"none","only RCTs included, SIGN-RCT checklist for bias assessment","some crossover studies were included following the guidelines by Elbourne et al. 2002. Whether change or post scores were used is unclear from the text.","Wilson et al. 2019 (21 out of 23 from Fig 2)","post-measures",NULL,"SMD (with Hedges&#039; correction) of post scores and their sd (with Borenstein variance estimator)",,"I couldn&#039;t match the ES of the first study (the study only reported change scores and no post scores), but the recalculation worked for the second (which I upload here). The MA authors use the Borenstein variance estimator, despite stating that they used metafor for the MA. This is rather uncommon, because that estimator is not the default setting in metafor. Maybe the ES calculation was done with another software.","SN","2025-07-08 14:10:31","2025-07-08 15:14:24","0"
"99","184","change score",NULL,"SMD (with Hedges&#039; correction) of change scores, standardized by the average SD of pre and post SD of both groups","none","reference to Borenstein et al. 2009","RCT and non-RCTs included, modified Downs &amp; Black checklist for bias assessment","The exact way to calculate the standardizer for the ES is unclear to me, as is the var estimator, which is not reported.","Moltubakk et al. 2021 (6 out of 29 from Fig 2)","change score",NULL,"SMD (with Hedges correction) of change scores standardized by the the averages of the pre and post sd (with Borenstein variance estimator)","none","I could not recalculate the first study because I was unsure which values were used for the calculations (and they probably would have needed to be extracted from a figure), the second study (which I will upload) worked","SN","2025-07-11 14:04:29","2025-07-11 14:48:19","0"
"100","186","change score",NULL,"SMD, possibly based on change scores","unreported","none","randomized and non-randomized studies included, modified Downs &amp; Black checklist for bias assessment","From the tables, figures and text I assume that a change score based approach was used, but this is not really clear","Irving et al. 2015 (18 out of 21 from Fig 2)","change score",NULL,"SMD based on change scores and their SD","r = 0.5","The study I used for the reanalysis did only present pre- and percentage change data. These data were used to calculate post score, with the percentage change score SD taken as the percentage post score sd (which is statistically incorrect). Then pre and post scores were used (with imputed correlation) to calculate change scores. I would not have been able to reproduce this, if the authors did not provide their extracted data, and their input data for the ES calculation in a table and the forest plot, so this was a great help. In the forest plot, the two groups of the same study were mixed up.","SN","2025-07-11 15:36:00","2025-07-11 15:36:00","0"
"101","190","change score",NULL,"MD or SMD (with Hedges&#039; correction) using post SD standardization","none","MD if same scale of outcome measures, SMD if different scales were used.","only RCTs included, PEDro scale for bias assessment","Different ES were used based on the measurement scales, I&#039;ll try to reproduce one MD (from Fig 1) and one SMD (from Fig. 4A)","Bjerre et al. 2019 (1 out of 2 from Fig 2) and Sundstrup et al. 2016 (2 out of 4 from Fig 4)","change score",NULL,"MD of change scores (with unclear variance calculation) or SMD (with Hedges&#039; correction) of change scores with post score SD standardization (using Borenstein variance estimator)","none","I tried several ES to calculate the MD procedure, but could only recalculate the point estimates not the CIs (also there was a probably incorrect direction of effect for one ES). I could reproduce the two SMDs I tried (one with very minor rounding error).","SN","2025-07-14 10:10:42","2025-07-14 11:19:23","0"
"102","192","change score",NULL,"SMD (without Hedges&#039; correction) based on change scores and their SD (with metafor variance estimator)","r = 0.923 or r = 0.9","Borenstein for using SMD, Dankel &amp; Loenneke 2021 for standardizing by the change score SD instead of the pre score SD, Abe et al. 2000 as a primary study for using 0.923 as a correlation imputation for leg extension, different other primary studies for provided a range of correlations (0.85-0.99) to justify the used r = 0.9.","probably randomized and non-randomized controlled studies included, ROB-2 for bias assessment","Very detailed account of the effect size calculation including formulas for the point and variance estimates and references for the used procedures and imputed values. Sensitivity analyses for r = 0.7, 0.8 were performed.","Botton et al. 2016 (19 out of 24 from Fig 2)","change score",NULL,"SMD (without Hedges&#039; correction) based on change scores and their SD","r = 0.9","I succeeded with the third ES to recalculate, the first probably had a slight differences in the CI, the second probably mistakenly took the unstandardized mean difference as the point estimate (and had the wrong effect direction, though the ES was very small), the third worked perfectly. Notably, although the MA stated that the used a particular r instead of the standard r=0.9 for leg extension measurements, they used r = 0.9 also for leg extension.","SN","2025-07-14 11:43:29","2025-07-14 12:32:40","0"
"103","193","change score",NULL,"SMD (possibly change score based with change score standardization)","r = 0.75","imputed correlation is based on an earlier MA on the same topic (Grgic et al. 2022), that used the correlation as a conservative estimate based on original studies that allowed to recalculate the correlation.","only randomized trials included, TESTEX scale for bias assessment","sensitivity analyses were performed for correlation ranging from 0.6-0.9; open data and code available","Terada et al. 2022 (18 out of 18 from Fig 2)","change score",NULL,"SMD (with Hedges&#039; correction) of change scores and their SD (with metafor variance estimator)","r = 0.75","One minor data extraction error occurred for the recalculated ES, which only lead to a very minor difference of 0.01 for the ES point estimate. I could verify the data extraction error with the help of the provided raw data.","SN","2025-07-14 15:01:16","2025-07-14 15:33:50","0"
"104","197","change score",NULL,"SMD (with Hedges&#039; correction) of change scores and their sd, or MD if same scale was used for outcome","r = 0.70","for correlation imputation, reference to two earlier MA: Csapo &amp; Alegre 2016 and Orssatto et al. 2019 (both link to Khouri et al. 2013, which links to Rosenthal 1993);","Randomized and non-randomized controlled trials; ROB-2 (for RCTs) or ROBINS-I (non-RCTs) for bias assessment","individual effect sizes and extracted data are presented in the supplementary materials","Correa et al. 2014 (1 out of 12 from Fig S1A)","change score",NULL,"SMD (with Hedges&#039; correction) of change scores and their SDs (possibly RevMan variance estimator)","r = 0.7","I could not continue reproducing the ES for the first study, because means had to be extracted from a plot and SDs were not presented at all (this is also indicated in the MA supplementary material). For the second ES (Radaelli et al. 2014) I could get a perfect match with the first try.","SN","2025-07-14 15:46:55","2025-07-14 16:10:36","0"
"105","200","post-measures",NULL,"SMD based on post scores",,"none","only RCTs included, PEDro scale for bias assessment","The MA included both crossover and parallel group trials. For crossover trials the ES is calculated as a within-group ES, with r = 0.7 (reference to Rosenthal 1991 and an earlier MA using 0.7 [Kishita et al. 2017, who also reference Rosenthal 1993]), with sensitivity analyses setting r = 0.5, 0.8","Griefahn et al. 2021 (2 out of 2 from Fig 2A)","post-measures",NULL,"SMD based on post scores and their SD (without Hedges&#039; correction)",,"This was challenging, because the two studies from the same first author were mixed up in the forest plot. Also the first recalculated ES had the wrong direction of the effect (although the ES was small, so this has almost no impact). The second recalculation worked well when using rounded values.","SN","2025-07-14 16:50:24","2025-07-17 15:00:42","0"
"106","202","unclear",NULL,"SMD (with Hedges&#039; correction)",,"reference to Hedges &amp; Olkin 1985 for bias correction","only RCTs included, PEDro scale for bias assessment","Possible change scores were used, but this is not clear from the text. Open data and open code.","Campos et al. 2013 (7 out of 19 from Fig 3)","unclear",NULL,"maybe SMD (with Hedges&#039; correction) based on change scores standardized by post-score SD (with RevMan variance estimator)",,"I could recalculate one ES using the method describe above (but in this case, the MA authors took the SE for the SD). But for the first and third ES, I could absolutely not recalculate the values, although the data was sufficient and matches the published MA data. The published data and code does not provide any information on how the ES were calculated. There may be an important undocumented step in the ES calculation, that was by chance not relevant to the one ES for which the recalculation succeeded.","SN","2025-07-17 15:03:52","2025-07-23 11:58:50","0"
"107","209","change score",NULL,"MD of change scores","none","none","only RCTs included, ROB-2 for bias assessment",,"Zavanela et al. 2012 (19 out of 19 from Fig 2)","change score",NULL,"MD based on change scores and their SD","r = 0.5",,"SN","2025-07-23 12:05:11","2025-07-23 12:29:30","0"
