id,study_id,read_calctype,read_ancovasource,read_calcmethod,read_imputemethod,justification,imbalance,read_comments,recalc_study,recalc_calctype,recalc_ancovasource,recalc_calcmethod,recalc_imputemethod,recalc_comments,extract_user,submitted_date,last_updated,is_draft
2,2,change score,NULL,SMD (with Hedges&#039; correction) of change score with raw (pre-) score standardization (Morris ppc1 with Morris variance estimator),r = 0.7 if not possible to recalculate,reference to Becker 1988 and Morris 2008,randomized and nonrandomized trials included; ROB-2 (RCT) and ROBINS-I (non-RCT) for bias assessment.,"very detailed explanation of the effect size calculation methods including formulas for point and variance estimate. Sensitivity analysis were performed for r = 0.1, 0.2, ..., 0.9. Data and code available!",Simao et al. 2011 (20 out of 36 from Fig 4),change score,NULL,SMD (with Hedges&#039; correction) of change score with raw (pre-) score standardization (Morris ppc1 with Becker variance estimator),r = 0.7,"MA used a different variance estimator than the one given in the article as a formula. I could perfectly recalculate the ES point estimate, but not the forest plot CI, because the aggregation procedure of the 3-level MA seems to change the variance estimates. But using the script, I could fully reproduce the originally calculated ES variance.",SN,25.07.2025 10:01,25.07.2025 11:14,0
6,2,change score,NULL,Hedges g with correction factor c= (1-3/4(n-1) using raw score standardisation (according to Becker &amp; Morris),p calculation as reported in the Cochrane handbook alternatively:  imputation of p=0.7,"all articles included pre and post-case control designs (Becker, 1988 &amp; Morris, 2008)",Risk of Bias analysis for randomised trials (RoB2) showed some concerns (64%) and 36% with high risk and analysis for nonrandomized trials (ROBINS-I) showed at least serious risk for each article,,"Simao, R. (Reference in forest plot wrong. 76 instead of 77), no. 20 in Figure 4",NULL,NULL,was able to recalculate the Effect size with the given equation (4) by Favro which is in line with Morris 2008. I was not able to recalculate CI / variance as the change SD was not given and r=0.7 led to different CI.,,,TS,26.03.2025 19:41,28.03.2025 10:21,0
3,18,change score,NULL,"SMD (Hedges&#039; g), probably change score based",r = 0.5,reference to Cochrane handbook for correlation imputation,"only randomized trials included, ROB-2 for bias assessment","The MA does not report to use a change score based ES, but reports to have performed correlation imputation, which only applies to change score based ES. No individual ES presented in the main manuscript.","Saeterbakken et al. 2018 ( 4 out of 4 from Tab S1, first section [no forest plots with individual ES are given, but the Tab S1 presents individual ES)",change score,NULL,SMD (with Hedges&#039; correction) based on change scores and their SD (possibly RevMan variance estimator),r = 0.5,,SN,25.07.2025 11:28,25.07.2025 11:36,0
11,18,change score,NULL,SMD (Hedges g),r = 0.5,reference to: Cochrane handbook for systematic reviews of interventions; 2011.,RoB 2 focused on the outcome level,"It&#039;s a Network Meta Analysis, therefore recalculation is probably difficult.","tried with Richardson et al. 2019, but did not find the corresponding forest plot",NULL,NULL,not replicable,,"As it is a NMA, I had a look into the supplemental material and chose a subcategory where only one study was used-&gt;   High-volume resistance exercise vs. control group, Richardson et al 2019. Still, I could not figure out to which forest plot the stated SMD belongs.",TS,31.03.2025 09:07,28.07.2025 22:27,0
4,56,change score,NULL,MD (probably of change scores),r = 0.85,"reference to Wewege &amp; Jones 2011 for the correlation imputation: &quot;In concordance with Wewege &amp; Jones (2021), a conservative paired-samples correlation of 0.85 was set for both study conditions.&quot; I checked the MA by Wewege &amp; Jones, they base their imputation of 0.85 on a sample of studies that reported pre-post correlations.","theoretically randomized and non-randomized controlled trials included, in practice all but one were randomized; ROB-1 for bias assessment",Most included studies used a crossover design,Niwa et al. 2022 (3 out of 41 from Fig 2),change score,NULL,MD of change scores and their SD,r = 0.85,Perfect match when using rounded values (second study). I could not reproduce the data extraction for the first study.,SN,25.07.2025 12:27,25.07.2025 12:27,0
39,56,change score,NULL,the mean difference (MD) after an exercise-based intervention compared with baseline values relative to the control condition,r=0.85,"No justification for Effect size method. 
Imputation method according to Wewege &amp; Jones (2021)",Cochrane Risk of Bias assessment tool,Double counting of control groups,"2 - Hviid (2019, b) - Hviid, J.-C., Thorlund, J. B., &amp; Vaegter, H. B. (2019). Walking increases pain
tolerance in humans: An experimental cross-over study.",change score,NULL,Mean difference based on change scores worked out for the values from the MA.,"unclear- in Hviid 2019, SD of difference was provided.","It is not clear, which data is actually used for Hviid, 2019b. I was not able to find the exact values that are stated in MA.",TS,14.05.2025 17:34,15.05.2025 08:33,0
6,96,change score,NULL,SMD based on change scores and their SD,r = 0.5,"SMD to compare measures among different scales, correlation imputation with reference to Cochrane handbook","only RCTs included, ROB(-1?) for bias assessment",No individual ES available in the manuscript,,NULL,NULL,,,"The MA does not present any individual effect sizes in its manuscript and supplemental documents. Therefore, it was not possible for me to perform a recalculation.",SN,25.07.2025 13:23,25.07.2025 13:23,0
57,96,change score,NULL,"SMD with 95% CI, based on change scores",r=0.5,According to Cochrane Handbook guidelines,"RCTs as an inclusion criterium, Cochrane Risk of Bias Tool used",Network Meta Analysis - did not report individual ES,not applicable as there is no individual study data,NULL,NULL,-,,-,TS,08.06.2025 20:33,08.06.2025 21:07,0
5,95,change score,MD of change scores (or post scores if no change scores are available),MD or SMD (depending on measure) of change score (or of post scores if change scores were not available),unclear,"&quot;Change scores and post-treatment scores were combined in the same meta-analyses, as the difference in mean post-intervention scores and mean change scores will, on average, be the same&quot; with reference to Cochrane handbook","only RCTs included, ROB-2 for bias assessment",,Hopper et al. 2017 (6 out of 12 from Fig S1),post-measures,NULL,"in this case MD based on post scores (but MA mixes change and post scores, and SMD for different outcomes)",,"The study I used for recalculation provided post and change scores (both with SD), but the MA used the post scores, contrary to what the MA method section says. The MA mixes post and change scores.",SN,25.07.2025 12:55,25.07.2025 12:55,0
56,95,unclear,NULL,Post score based and change score based,,Reference to Cochrane Handbook that post scores and change scores would be the same on average . No imputation method was reported.,only RCTs included,"Mean difference is used for angle measurements,  SMD is used for ground reaction forces. 
I am not sure, if change scores and post scores  were dealt separately in subgroups.","Study 4 of 7 - McCurdy et al 2012  SL DVJ (Forest Plot, Suppl. Fig. S1)",post-measures,NULL,"Mean difference of post scores, no variance homogeneity",,"The study (McCurdy et al) mentioned that only 27 participants took part, but it is not transparent in which group there were drop outs. Therefore, I used the number of participants that were given in the abstract of the study.",TS,30.05.2025 21:50,31.05.2025 11:46,0
7,101,change score,NULL,SMD (with Hedges&#039; correction) based on change scores and post-score SD,none,none provided,"randomized and non-randomized controlled studies, PEDro scale for bias assessment",,Negra et al. 2020 (18 out of 21 from Fig 2),change score,NULL,SMD (with Hedges&#039; correction) based on change scores standardized by post-score SD (with Borenstein variance estimator),none,,SN,25.07.2025 13:50,25.07.2025 13:50,0
58,101,change score,NULL,Based on Change score with post score SD as Standardizer + Hedges g correction,Based on post score SD,none,Risk of bias was evaluated via visual inspection of funnel plots,forest plots seems to include double counting of control groups,"Negra et al. (2020) - (18 of 21, Figure 2)",change score,NULL,As reported: Based on Change score with post score SD as Standardizer + Hedges g correction,post score SDs used,"I assume the reported method was used, although I was unable to recalculate the exact values due to rounding errors.",TS,09.06.2025 10:21,09.06.2025 11:02,0
8,109,post-measures,NULL,SMD (with Hedges&#039; correction) of post scores and their SD (MD for one measure),,"SMD because of different measurement scales, MD for same (reference to Cochrane handbook). Reference to Hedges &amp; Olkin 1981 for bias correction.","randomized and non-randomized studies included, ROB-2 for bias assessment",The MA states: &quot;The reviewer [doing the data extraction] used established imputation methods for missing measures of uncertainty and data transformation.&quot;,Kirchenberger et al. 2021 (8 out of 12 from Fig 3 upper panel),post-measures,NULL,SMD (with Hedges&#039; correction) of post-scores standardized by post-score SD,,,SN,25.07.2025 14:12,25.07.2025 14:12,0
63,109,post-measures,NULL,outcome measurements were evaluated by using the standardized mean difference (SMD). Hedges’ g was used to account for small sample size bias.,,"reference to Cochrane handbook for systematic reviews of interventions; 2021, when SMD was explained",Risk of Bias 2.0 Tool,,Study 8 of 12 - Kirchenberger et al. (2021),post-measures,NULL,"SMD, Hedges correction, based on post scores",,recalculation succeeded as reported in the meta analysis,TS,22.06.2025 08:49,22.06.2025 09:26,0
9,126,change score,NULL,SMD based on percentage change scores standardized by (percentage) post-SD,none,none,"randomized and non-randomized studies included, PEDro scale for bias assessment",,Contreras et al. 2017 (15 out of 17 from Fig 3),change score,NULL,SMD (with Hedges&#039; correction) based on percentage change scores standardized by (percentage) post-SD (probably RevMan variance estimator),none,"I had to consider one potential data extraction error to get a matching result. The variance estimator could also be the metafor one, because both give almost exact results",SN,28.07.2025 09:32,28.07.2025 09:32,0
69,126,change score,NULL,"SMD based on change scores, with post score SD ? 
&quot;pre- to post-intervention data indexation methodology, ... the standard deviation (post-intervention only) was entered as a percentage of the absolute mean&quot;",post score SD ?,none,PEDro scale for RoB assessment,forest plot does not include exact values -see supplementary material.,15 of 17 - Contreras (2017),change score,NULL,"SMD calculated with percentual change from pre to post. It was not like in MA stated that they used for improvement 104%, they used 4% instead. SMD calculated with post score SD (in % to mean post score value)",standardised by post score SD,"the supplemental material also stated values of 103,4% etc even they used just 3,4% and so on ... 
Furthermore, they were small rounding/ calculation errors",TS,25.06.2025 08:59,25.06.2025 09:23,0
29,36,change score,NULL,SMD of change score with raw score standardization (Morris),"informative Gaussian prior centered at r = 0.85 : &quot;Therefore, primary data obtained
from relevant studies (including those produced in the laboratories of the study team) were used to develop informative priors to model within study variances (Gaussian prior centred at r = 0.85 and range from approximately 0.70–0.99)&quot;",reference to Morris,"only RCTs included, ROB-2 for bias assessment","It&#039;s unclear which of the Morris types was used. Also if the priors for r were only part of the variance estimation in the Bayesian MA, or also for the (non-MA) ES calculation for all studies. ES are shown as distributions under a Bayesian framework, so it is not possible to recalculate, since also no code and data for individual study ES is presented.",,NULL,NULL,,,"Bayesian MA, so individual ES recalculation is not possible here.",SN,23.04.2025 09:48,23.04.2025 09:48,0
10,36,unclear,NULL,Three-Level random-effects Bayesian hierarchical model to pool ES and model mean effects.,,"No justification of ES calculation. Imputation of within-study variance was modelled by primary data obtained from relevant studies (reference to Morris, 2008)",Cochrane RoB2,This form of meta-analysis does not fit into our recalculation scheme as it is based on a Bayesian model.,,NULL,NULL,,,,TS,02.08.2025 13:45,02.08.2025 13:45,0
19,40,change score,NULL,MD of change scores (and change score sds),r = 0.975-0.99 depending on the variable and based on the median values of one study that reported correlations,correlation imputation based on reported values in one study and similar to the values in earlier MAs of the same group that used the same procedure,"only RCTs includede, ROB-2 for bias assessment","The correlation imputation section was very detailed and well-explained. 0.99 seems very high though. The authors state that they published all data and analysis code, this may make the recalculation easy.",Spillane et al. 2009 (12 out of 12 from Fig 2),change score,NULL,MD (not assuming homoscedasticity),"0.975 (in this instance, so exactly as the authors described it)","I could fully reproduce the ES, but only when I multiplied the control group sample size, mean, and sd by 1/2. I think this was done because there are two intervention group for this particular study (though not in the same forest plot) and the MA authors used this to account for potential double-counting). But then one should halve the sample size and definitely not also the mean and sd. This can (and in this instance does) highly bias ES towards exaggerating treatment effects. I found this out by looking at the data sheet the MA authors provided on the OSF, so providing data and code here proved to be extremely helpful. (On another note, the reference number was incorrect in the forest plot)",SN,22.04.2025 09:03,22.04.2025 09:56,0
11,40,change score,NULL,"weighted mean difference, SD of change score according to Cochrane Handbook","median correlation for each outcome, obtained from one study who offered sufficient data",imputation of correlation coefficient supported by previous studies,Cochrane Risk Of Bias Tool (ROB2),Correlation coefficient is based on one study,Fig. 2- Study 12: Spillane et al. (2009),change score,NULL,MD based on change scores means and SD as reported,r= 0.975,"The control group (n, mean and SD) was divided by 2, because the MA stated to split the control group sample proportionately based on the number of subjects in each intervention group, if a study comprised multiple eligible creatine interventions. I suppose, they made this because the study was included in forest trees of lean body mass and body fat. As these are both continuous outcomes, dividing the mean and SD does not make any sense, from my point of view, and results in a different ES (MA: 1.00; new: -0.15)",TS,03.08.2025 11:05,03.08.2025 13:13,0
35,51,change score,NULL,MD based on change scores and their sd,unreported,none,"only RCTs included, ROB(-1) for bias assessment",,"Li et al. 2020 (19 out of 27 from Fig. 3a, random number generator said 16, but this and the following studies could not be retrieved)",change score,NULL,MD based on change scores and their sd,r = 0.5,"I had troubles retrieving the original research studies underlying the MA. The first I could retrieve had raw data available, from which I could calculate the group means in the forest plot, but not the group sds. So there may be a data extraction error. Using the means and sds from the forest plot I could reproduce the ES. For the second study I could receive I had another issue, as I could match the mean and sd of the intervention but not the control group (so maybe another extraction error). For the third study everything worked, when imputing a pre-post correlation of r = 0.5.",SN,28.04.2025 16:59,30.04.2025 13:50,0
12,51,change score,NULL,Weighted Mean Difference,unclear,none,"Randomised Controlled Trials, RCT Risk of Bias (Cochrane System)",&quot;overall effect was tested by a z-test with a 95% confidence interval (CI)&quot;,"Xiaoyuan Li, 2020",change score,NULL,"MD based on change scores. I am unsure how the pooled SD was calculated by the authors.  The SD of control group differed as well from the raw data. Therefore I was able to recalculate the MD, but not the CI.","no need to impute, because of available raw data","The study provided raw data, which is also the only way to extract values for the forest plot.",TS,21.09.2025 15:36,21.09.2025 16:19,0
55,92,change score,NULL,SMD (Hedges&#039; g) probably based on change scores,unclear,none,"randomized and non-randomized controlled trials included, ROB-2 and TesTex for bias assessment","change score SMD is not explicitly written, but the article says &quot;Preintervention and postintervention mean &amp; SDs for a given outcome from the intervention and control groups were converted to Hedges’ g ES.&quot; which implies it.",(8 out of 10 from Fig 3),unclear,NULL,possibly SMD based on change scores,,I could not reproduce the ES calculation method (although I could verify that the data extracted from the original studies was correct).,SN,27.05.2025 10:34,28.05.2025 09:53,0
13,92,change score,NULL,Hedges g based on converted values of pre and post means + SD,unclear,none,Cochrane risk of bias tool was used. &quot;Studies that did not reach the medium methodological quality (6–10 points) were eliminated&quot;,"Using Change scores as the effect size calculation method was not clearly stated. The caption of Fig 3 says &quot;changes in pain intensity ...&quot;, together with the description of the data analysis, I assume it is change score based.",Cuesta-Vargas et al. (2011),change score,NULL,"In the original study, change scores + SD were given. I wasn&#039;t able to find out how the ES was calculated in the MA, however the recalculation of the CI was close.",unclear,"The MA used probably the sample size without dropouts, as stated in the table.",TS,30.10.2025 11:26,30.10.2025 12:59,0
67,120,post-measures,NULL,SMD based on post scores and their SD,,none,"only RCTs included, ROB(-1) for bias assessment","In some parts the text also mentioned change scores, but overall it appeared quite clear to me that the chosen approach is based on post-scores.",Asadi et al. 2017 (7 out of 28 from Fig 4),post-measures,NULL,"SMD (with Hedges&#039; correction) of post scores and their sds, using the RevMan variance estimator",,double counting of studies,SN,24.06.2025 10:59,24.06.2025 15:00,0
14,120,change score,NULL,&quot;SMD between groups was conducted with RevMan using a random-effects model estimated with the DerSimonian and Laird method&quot; - SMD probably based on change scores,unclear,none,Risk of Bias assessment according to the Cochrane Collaboration Guidelines Assessment,"&quot;Forest plots were generated to demonstrate study-specific posttraining velocity differences and ES within a
95% CI. &quot; where the differences should correspond to change scores, even though it is not clearly stated or justified. In the abstract, they stated to use the ES to determine chronic changes, which makes me assume that they use change scores.",Brini et al. (2020),post-measures,NULL,SMD with Hedges g correction using post-scores,,"The way the MA described the Effect Size calculation differed from what they actually performed. They spoke about post-intervention differences which I assumed to be change scores- it turned out that they meant the post-scores (and the differences between the intervention groups). Hedges g wasn&#039;t mentioned in the text, however, it was applied.",TS,01.11.2025 11:39,01.11.2025 12:07,0
16,90,change score,NULL,SMD using cluster robust point estimates,Set to rho = 0.5,No imputation was used.,Only RCT,"- Chochrane RoB 2 was used for bias assessment.
- random-effects meta-analysis was registered changed into robust variance estimation 3-level mixed effects",Jenkins (2021),NULL,NULL,Not clear.,,The effect size can be reproduced but not the confidence interval.,RR,05.12.2025 15:42,05.12.2025 15:42,0
54,90,change score,NULL,SMD based on change scores,r = 0.5,link to Cochrane for the imputation formula to convert pre-post correlation to change score sd,"only RCTs included, ROB-2 for bias assessment","the main focus of the article is a moderator analysis (a meta-regression). However, the article also has classic MAs comparing two groups. For many included studies more than one outcome is reported, so we have to see what data we can use for the recalculation.","Kraemer et al. 2001 (24 out of 57 from Fig 4), but later used Kraemer et al. 2004 instead because data was presented in a table",change score,NULL,SMD (Hedges&#039; g) based on change scores and their standard deviation.,r = 0.5,"I had to use another study for recalculation that reported the parameters in a table. I could perfectly reproduce the imputation procedure, ES, and CI, but the MA authors mistook the ES var for the ES SE (I believe for all ES in the MA). This leads to overly narrow CIs, since var(ES) &lt; SE(ES) for var(ES) &lt; 1.",SN,23.05.2025 18:46,23.05.2025 19:41,0
15,134,NULL,NULL,Effect sizes are presented as mean difference (MD) and 95% CIs or standardized mean difference (SMD) and 95% CIs when the outcomes have noncomparable scales.,,"No imputation, rho = 0.7 was used based on &quot;previous recommendations&quot;.",Not reported.,"The Critical Appraisal Checklist for Case Control Studies or RCT of the Faculty of Health and Medical Sciences at the University of Adelaide, South Australia was used for ROC.",Teo et al. (2020),change score,NULL,Not reported. metafor-package,NA,,RR,05.12.2025 14:26,05.12.2025 14:26,0
73,134,change score,NULL,MD or SMD based on change scores and their sd,0.7,"MD or SMD depending on whether the same scale was used for all outcomes; for imputation, reference to a previous MA (Mason et al. 2021) that used a correlation of 0.7 based on two primary studies while performing a sensitivity analysis","RCT and non-RCT included, &quot;The Critical Appraisal Checklist for Case Control Studies or RCT of the Faculty of Health and Medical Sciences at the University of Adelaide&quot; used for bias assessment",,Teo et al. 2020 (1 out of 10 from Fig 2A),unclear,NULL,"unclear, possibly something based on change scores",,"I tried several studies but could not fully reproduce a single ES. Also, very likely double counting of a treatment arm. Partly incorrect reference numbers in forest plot.",SN,25.06.2025 11:45,25.06.2025 14:18,0
20,136,change score,NULL,"I presume Hedges g, but no clear information is given.",0.5,r = 0.5 was used without justification.,Only randomized experiments were used.,"Extraction was not possible, as no forest plot with individual studies was reported.",,NULL,NULL,,,,RR,17.12.2025 22:13,17.12.2025 22:13,0
74,136,change score,NULL,SMD (with Hedges&#039; correction) based on change scores and their sd,r = 0.5,"SMD because of different measurement scales (ref to Cochrane), bias correction because of small sample bias (ref to Hedges &amp; Olkin), imputation based on a previous MA (Lopez et al 2021, but they chose it without justification).","only randomized trials included, ROB-2 for bias assessment","this is a network-MA and the article does only present aggregated ES. But the Suppl Fig S7/8 show a threshold analysis, also displaying individual study ES, so I will try to use these for the recalculation.",Padilha et al 2015 (53 out of 69 from Fig S7),change score,NULL,SMD with Hedges&#039; correction based on change scores and their sds,r = 0.5,"The MA has an error in the ES CI calculation: The authors very likely mistook the ES SE for the ES var. This leads to overly wide CIs, since SE(ES) &gt; var(ES) for var(ES) &lt; 1. I could fully reproduce the ES and its CI when considering this issue.",SN,25.06.2025 14:32,25.06.2025 15:25,0
17,140,unclear,NULL,SMD Hedges&#039;G,,None,Only RCT were used,,Gupta and Mamidi 2013,unclear,NULL,"Unclear, count not reproduce using the Hedges G as documented in the manuscript.",,For study 2 no pdf was available therefore the first study was used. The original study only documents change scores but no correlation is provided.,RR,10.12.2025 10:49,10.12.2025 10:49,0
77,140,unclear,NULL,SMD with Hedges&#039; correction,,none,"only RCTs included, ROB-2 for bias assessment",,Gupta &amp; Mamidi 2013 (1 out of 2 from Fig 2) [random number generator selected study 2 but I could not retrieve the full text for this study),post-measures,NULL,SMD (with Hedges&#039; correction) of post scores and their sd,,I believe the recalculated ES has the wrong sign. But the primary study was unclear whether they reported post-scores (which would mean the ES has the wrong sign) or change scores (which would mean the ES has the correct sign). I checked another ES and that was calculated using post-scores.,SN,26.06.2025 09:26,26.06.2025 10:06,0
19,158,post-measures,NULL,Hedges-G with erroneous calculations for the standard error. They actually analyse both change-scores and post-scores. In both cases the calculation for the standard error is wrong.,,None given,Only cross-over trials,,Larsen 2018,post-measures,NULL,Following the tables from the supplementary information which are both wrong.,,Couldn&#039;t replicate the values given in the figure.,RR,17.12.2025 15:11,17.12.2025 15:11,0
84,158,change score,NULL,"SMD of within-group SMD, both with Hedges&#039; correction and the same variance estimator","unclear, based on available data (but unclear what if not enough data is reported)","Lakens 2013 for calculating the within group ES and using the Hedges&#039; correction, Kebede et al. 2019 for calculating the correlation from reported sds, Madeyski &amp; Kitchenham 2018 for the between group SMD, Goulet-Pelletier &amp; Cousineau (2018) for the variance estimator","only crossover trials included, self-developed checklist for bias-assessment","The procedure is well-explained, well-referenced, and the appendix provides all formula used. I am unsure whether the used approach is mathematically correct, because (1) the variance estimator is for independent groups but also used for the within group ES here (2) there is an error (typo?) in the formula for calculating the pre-post correlation (3) the practice of standardizing a difference of standardized means may yield results that are different to interpret (4) The cross-over nature of the trials is not fully taken into account (e.g., not using the between condition correlation).",Jones et al. 2008 (9 out of 11 from Fig 2A),change score,NULL,SMD based on within-group SMD (both with Hedges&#039; correction and both with an independent group variance estimator).,r = 0.5,"I could finally perfectly recalculate a given effect size, but only when following the mistakes from the MA analysis: 
1. the formula for calculating the pre-post correlation is not just incorrectly applied but also contains an error, with the result that a correlation of r = 0.5 is always imputed
2. the variance formula (which is inappropriate for the within group design) also has an error in the calculation of the degrees of freedom, as has the Hedges&#039; correction factor
3. The standardization procedure of the between group ES standardizes already standardized SMDs by raw score SDs, which will almost always leads to extremely small ES (but large CIs)
4. The between group ES does not take the crossover design into account but treats the am and pm groups as independent (loss of power)",SN,30.06.2025 13:58,30.06.2025 15:35,0
18,180,change score,NULL,SMD,Not reported,None given,"Not clear, a control condition had to be present. No information about randomization.",,Castilho Junior et al. [63],unclear,NULL,Not clear what was used as apparently cross-over and independent groups were included in the meta analysis.,,Could not reproduce as it was not clear which measure was actually used.,RR,12.12.2025 15:58,12.12.2025 15:58,0
95,180,change score,NULL,SMD of change scores,unreported,reference to Cochrane handbook,"possibly randomized and non-randomized trials included, PEDro for bias assessment.",,"O&#039;Riordan et al. 2023 (18 out of 22 from Fig 3; I used Fig 3 because Fig 2 appeared to present combined effect sizes for each study; the built-in random number generator of the project website did not work for this study, so I used R code instead)",post-measures,NULL,SMD (with Hedges&#039; correction) based on post-scores (with RevMan variance estimator),,"Most included studies were crossover-design without additional pre-measures, so change score based methods may not be applicable. Recalculation was challenging, because for some studies it was not clear what data was extracted, which procedure was used for combining measures to a single effect sizes and/or data would need to be extracted from plots. In the end, I could only successfully recalculate a single ES (I&#039;ll upload this file as the &quot;original study pdf&quot;).",SN,07.07.2025 17:43,08.07.2025 09:50,0
21,183,change score,NULL,Hedges g,Non given,None given,RCT,Could not reproduce. Not clear which measures were used and how standard deviations were calculated.,Wilson et al. (2018),unclear,NULL,Hedges g was reported.,,Could not reproduce results.,RR,17.12.2025 22:49,17.12.2025 22:49,0
98,183,unclear,NULL,SMD (with Hedges&#039; correction),,none,"only RCTs included, SIGN-RCT checklist for bias assessment",some crossover studies were included following the guidelines by Elbourne et al. 2002. Whether change or post scores were used is unclear from the text.,Wilson et al. 2019 (21 out of 23 from Fig 2),post-measures,NULL,SMD (with Hedges&#039; correction) of post scores and their sd (with Borenstein variance estimator),,"I couldn&#039;t match the ES of the first study (the study only reported change scores and no post scores), but the recalculation worked for the second (which I upload here). The MA authors use the Borenstein variance estimator, despite stating that they used metafor for the MA. This is rather uncommon, because that estimator is not the default setting in metafor. Maybe the ES calculation was done with another software.",SN,08.07.2025 14:10,08.07.2025 15:14,0
